Time,Global Mean Sea Level
12/15/1979,-15
1/15/1980,-15.2
2/15/1980,-14.1
3/15/1980,-16.1
4/15/1980,-15.8
5/15/1980,-16.1
6/15/1980,-16.7
7/15/1980,-19.2
8/15/1980,-21
9/15/1980,-21
10/15/1980,-19.2
11/15/1980,-14
12/15/1980,-9.9
1/15/1981,-7.8
2/15/1981,-6.8
3/15/1981,-5
4/15/1981,-4
5/15/1981,-2.7
6/15/1981,-2.2
7/15/1981,-3.9
8/15/1981,-3.1
9/15/1981,-4.1
10/15/1981,-2
11/15/1981,-2.9
12/15/1981,-4.4
1/15/1982,-8.2
2/15/1982,-9.3
3/15/1982,-10.6
4/15/1982,-13.1
5/15/1982,-13.5
6/15/1982,-14.7
7/15/1982,-15.8
8/15/1982,-14.4
9/15/1982,-10.3
10/15/1982,-4.7
11/15/1982,-2.1
12/15/1982,-1.6
1/15/1983,0.2
2/15/1983,-0.5
3/15/1983,1.1
4/15/1983,4.3
5/15/1983,7.5
6/15/1983,6
7/15/1983,1.8
8/15/1983,-5.9
9/15/1983,-6.7
10/15/1983,-9.7
11/15/1983,-6.8
12/15/1983,-8.9
1/15/1984,-7.5
2/15/1984,-6.3
3/15/1984,-3
4/15/1984,-2.2
5/15/1984,-1.2
6/15/1984,1
7/15/1984,0.6
8/15/1984,2
9/15/1984,-0.2
10/15/1984,-1.1
11/15/1984,-4.4
12/15/1984,-6.4
1/15/1985,-10.4
2/15/1985,-9.5
3/15/1985,-11.7
4/15/1985,-11.7
5/15/1985,-13.5
6/15/1985,-13.1
7/15/1985,-13.7
8/15/1985,-15.4
9/15/1985,-14.6
10/15/1985,-13.9
11/15/1985,-12.5
12/15/1985,-12.2
1/15/1986,-10.8
2/15/1986,-9.7
3/15/1986,-10.3
4/15/1986,-10.5
5/15/1986,-11.8
6/15/1986,-11
7/15/1986,-13.3
8/15/1986,-12.5
9/15/1986,-13.5
10/15/1986,-13.9
11/15/1986,-14.3
12/15/1986,-13.1
1/15/1987,-11.2
2/15/1987,-8.5
3/15/1987,-10.8
4/15/1987,-12.4
5/15/1987,-10.9
6/15/1987,-9.3
7/15/1987,-8.2
8/15/1987,-13.5
9/15/1987,-15.3
10/15/1987,-16.7
11/15/1987,-12.1
12/15/1987,-8.6
1/15/1988,-9.1
2/15/1988,-7.8
3/15/1988,-9.9
4/15/1988,-8.2
5/15/1988,-8.1
6/15/1988,-6.6
7/15/1988,-6.4
8/15/1988,-4.8
9/15/1988,-3.3
10/15/1988,-2.6
11/15/1988,-4.9
12/15/1988,-9.4
1/15/1989,-9.4
2/15/1989,-8
3/15/1989,-2.4
4/15/1989,-1.6
5/15/1989,-1.1
6/15/1989,-3
7/15/1989,-2.7
8/15/1989,-1
9/15/1989,0.3
10/15/1989,0.6
11/15/1989,1.1
12/15/1989,-0.6
1/15/1990,-0.2
2/15/1990,-2.6
3/15/1990,-4.4
4/15/1990,-3.9
5/15/1990,-4.1
6/15/1990,0
7/15/1990,-0.2
8/15/1990,2.8
9/15/1990,3
10/15/1990,3.8
11/15/1990,4.3
12/15/1990,1.6
1/15/1991,3
2/15/1991,3.7
3/15/1991,5
4/15/1991,1.4
5/15/1991,-1
6/15/1991,-1.4
7/15/1991,1
8/15/1991,3.6
9/15/1991,3.8
10/15/1991,4.1
11/15/1991,4
12/15/1991,2.9
1/15/1992,5
2/15/1992,6
3/15/1992,4.6
4/15/1992,3.1
5/15/1992,0.6
6/15/1992,1
7/15/1992,0.3
8/15/1992,0.6
9/15/1992,2.2
10/15/1992,5.5
11/15/1992,5.1
12/15/1992,4
1/15/1993,2.7
2/15/1993,3.8
3/15/1993,6.3
4/15/1993,8.3
5/15/1993,8.6
6/15/1993,4.3
7/15/1993,0.6
8/15/1993,-2.4
9/15/1993,-5.3
10/15/1993,-4.1
11/15/1993,-5.2
12/15/1993,-0.6
1/15/1994,3.4
2/15/1994,4
3/15/1994,6
4/15/1994,5.1
5/15/1994,7.4
6/15/1994,6.4
7/15/1994,9
8/15/1994,8.3
9/15/1994,8
10/15/1994,7.6
11/15/1994,5.9
12/15/1994,7.8
1/15/1995,8.6
2/15/1995,9.7
3/15/1995,10.4
4/15/1995,8.6
5/15/1995,7.7
6/15/1995,6.6
7/15/1995,7.9
8/15/1995,7.3
9/15/1995,8.6
10/15/1995,10.1
11/15/1995,12.5
12/15/1995,16.3
1/15/1996,16.2
2/15/1996,16.1
3/15/1996,11.1
4/15/1996,8.4
5/15/1996,7.5
6/15/1996,7.1
7/15/1996,13
8/15/1996,15.6
9/15/1996,20.7
10/15/1996,18.1
11/15/1996,16
12/15/1996,14.2
1/15/1997,16.5
2/15/1997,19.2
3/15/1997,22.8
4/15/1997,23.1
5/15/1997,22.7
6/15/1997,22.2
7/15/1997,17.6
8/15/1997,17.7
9/15/1997,16.9
10/15/1997,22.1
11/15/1997,22
12/15/1997,23.9
1/15/1998,20.4
2/15/1998,16.4
3/15/1998,11.5
4/15/1998,7.1
5/15/1998,6.5
6/15/1998,7.2
7/15/1998,9.5
8/15/1998,10.1
9/15/1998,11.6
10/15/1998,9.9
11/15/1998,8.9
12/15/1998,8.9
1/15/1999,12.5
2/15/1999,15.8
